start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1640995200000,2022-01-01 00:00:00,0.364689,0.31517184,322.17225644,352.28957644
1640998800000,2022-01-01 01:00:00,0.1336896,0.32438202,87.79728044,119.25112052
1641002400000,2022-01-01 02:00:00,0.5602804,0.28430263,183.00983607,189.93505547
1641006000000,2022-01-01 03:00:00,0.22461355,0.23620296,157.81131869,206.86908041
1641009600000,2022-01-01 04:00:00,0.08397933,0.23045554,22.71101834,45.60077541
1641013200000,2022-01-01 05:00:00,0.32270396,0.26069812,173.48845302,195.55859918
1641016800000,2022-01-01 06:00:00,0.09460279,0.25493695,62.83016718,88.359009
1641020400000,2022-01-01 07:00:00,0.17753054,0.22820002,137.31678577,172.91474165
1641024000000,2022-01-01 08:00:00,0.07015464,0.2191236,59.18326386,97.51495372
1641027600000,2022-01-01 09:00:00,0.11639583,0.15571152,94.97710532,130.13054173
1641031200000,2022-01-01 10:00:00,0.15947042,0.14640536,165.87304997,210.979372
1641034800000,2022-01-01 11:00:00,0.06374382,0.14351457,46.27149391,82.8669621
1641038400000,2022-01-01 12:00:00,0.07464966,0.10807824,72.1978098,115.10977908
1641042000000,2022-01-01 13:00:00,0.08708353,0.10700406,63.13618076,111.11858573
1641045600000,2022-01-01 14:00:00,0.05841676,0.08998781,44.59279319,77.46062269
1641049200000,2022-01-01 15:00:00,0.14308112,0.10040588,166.79516066,204.74907941
1641052800000,2022-01-01 16:00:00,0.0460499,0.09035646,18.08731222,39.51081808
1641056400000,2022-01-01 17:00:00,0.17871323,0.09310543,250.13669732,322.04123656
1641060000000,2022-01-01 18:00:00,0.42236891,0.14433759,547.63831553,588.78226444
1641063600000,2022-01-01 19:00:00,0.05023512,0.1408498,34.95356895,68.21929691
1641067200000,2022-01-01 20:00:00,0.04273851,0.13451479,24.00516997,61.24427842
1641070800000,2022-01-01 21:00:00,0.33566972,0.17412236,296.5613592,325.59962638
1641074400000,2022-01-01 22:00:00,0.34568853,0.20306627,164.83891922,174.91839787
1641078000000,2022-01-01 23:00:00,0.06778834,0.20617177,43.66808469,68.87295827
