start_time,datetime,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
1640995200000,2022-01-01 00:00:00,2.35981812,5.4566928,174.62627476,191.14526798
1640998800000,2022-01-01 01:00:00,5.57403993,5.46104687,168.44210493,183.94331765
1641002400000,2022-01-01 02:00:00,3.29748281,5.36225587,163.66228691,164.87414066
1641006000000,2022-01-01 03:00:00,1.57361631,5.01596489,78.13648063,91.2697462
1641009600000,2022-01-01 04:00:00,2.14815025,3.43308706,141.7893799,150.37051741
1641013200000,2022-01-01 05:00:00,5.10893717,3.73290156,153.09377946,163.48598946
1641016800000,2022-01-01 06:00:00,1.78297926,3.12071769,142.0802651,151.55323742
1641020400000,2022-01-01 07:00:00,1.40768425,2.98469857,32.79465243,38.00747484
1641024000000,2022-01-01 08:00:00,1.04668044,2.33793293,68.99085568,83.73443482
1641027600000,2022-01-01 09:00:00,1.42034759,2.06977075,65.24676535,71.01737973
1641031200000,2022-01-01 10:00:00,13.88083347,3.82794463,638.93347133,652.39917319
1641034800000,2022-01-01 11:00:00,2.95992971,3.94391313,69.39912909,82.87803198
1641038400000,2022-01-01 12:00:00,1.08333366,3.36882691,80.74106495,94.2500288
1641042000000,2022-01-01 13:00:00,2.30276102,3.44308145,56.73724007,69.08283047
1641045600000,2022-01-01 14:00:00,3.93229968,3.8037408,358.03442218,365.70387047
1641049200000,2022-01-01 15:00:00,6.3707115,4.56431666,179.20993513,197.49205636
1641052800000,2022-01-01 16:00:00,2.42511023,4.70785418,117.42970129,121.25551144
1641056400000,2022-01-01 17:00:00,8.43718251,3.93018976,293.75257705,320.61293534
1641060000000,2022-01-01 18:00:00,3.90976178,4.06588005,331.71264321,351.87856042
1641063600000,2022-01-01 19:00:00,7.12437088,4.92888537,206.98084263,220.85549729
1641067200000,2022-01-01 20:00:00,12.20622385,6.34366578,896.01873206,915.46678862
1641070800000,2022-01-01 21:00:00,3.55731869,6.29009706,99.14821984,106.71956075
1641074400000,2022-01-01 22:00:00,0.91864066,5.5112298,55.60509433,56.95572083
1641078000000,2022-01-01 23:00:00,5.50139016,5.95069836,200.08337519,214.55421643
1641081600000,2022-01-02 00:00:00,3.54481261,5.25178838,228.20583398,241.04725733
1641085200000,2022-01-02 01:00:00,6.05620557,5.5584232,156.63900682,163.51755034
1641088800000,2022-01-02 02:00:00,0.47752959,4.60887445,36.58916131,39.63495586
1641092400000,2022-01-02 03:00:00,5.76077344,3.68809582,148.30896784,155.54088296
1641096000000,2022-01-02 04:00:00,3.23523551,3.64208393,192.13014197,207.05507277
1641099600000,2022-01-02 05:00:00,3.59873211,4.02495414,59.55658925,61.17844592
1641103200000,2022-01-02 06:00:00,1.7771604,3.49292132,134.83780057,140.39567138
1641106800000,2022-01-02 07:00:00,2.18980486,3.29934878,71.5056697,81.02277993
1641110400000,2022-01-02 08:00:00,0.49803106,2.50532385,35.13694549,42.33263997
1641114000000,2022-01-02 09:00:00,3.04700784,2.87239217,83.0121254,88.36322742
1641117600000,2022-01-02 10:00:00,1.08852838,2.20492859,74.00455402,85.99374181
1641121200000,2022-01-02 11:00:00,2.84419183,2.14906521,66.25944386,76.79317934
1641124800000,2022-01-02 12:00:00,1.60085372,1.86365401,96.33977719,120.06402914
1641128400000,2022-01-02 13:00:00,1.32450806,1.79898939,56.03502636,68.87441911
1641132000000,2022-01-02 14:00:00,1.76446504,1.73822656,96.76750579,116.45469239
1641135600000,2022-01-02 15:00:00,4.69543398,2.33785555,207.37656873,225.38083087
1641139200000,2022-01-02 16:00:00,4.9512125,2.60988479,308.27745805,336.68245011
1641142800000,2022-01-02 17:00:00,3.37890738,2.93708179,110.49010235,118.26175821
1641146400000,2022-01-02 18:00:00,4.34783775,3.15188835,145.79628488,165.21783453
1641150000000,2022-01-02 19:00:00,4.15321152,3.51651089,349.07366206,353.02297917
1641153600000,2022-01-02 20:00:00,2.687337,3.71120074,231.11538833,257.98435171
1641157200000,2022-01-02 21:00:00,3.34663155,3.93722453,43.34090469,43.50621011
1641160800000,2022-01-02 22:00:00,3.79079052,3.80798975,173.24244463,193.33031647
1641164400000,2022-01-02 23:00:00,2.001097,3.38654467,134.68458506,146.08008085
1641168000000,2022-01-03 00:00:00,2.33663323,3.23764837,146.5434616,158.89105987
1641171600000,2022-01-03 01:00:00,7.19862715,3.644904,231.34782745,244.75332318
1641175200000,2022-01-03 02:00:00,1.02524332,3.1980514,53.76502948,57.41362611
1641178800000,2022-01-03 03:00:00,8.01056515,3.95851256,252.0985215,296.3909104
1641182400000,2022-01-03 04:00:00,1.44420477,3.68673731,126.48705022,132.86683917
