start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime
1640995200000,0.72,-2.67236721,0.00154321,-0.00572821,2022-01-01 00:00:00
1640998800000,2.71,5.80998734,0.0057933,0.01241948,2022-01-01 01:00:00
1641002400000,-3.22,-3.68203217,-0.00687861,-0.00786569,2022-01-01 02:00:00
1641006000000,-9.19,-10.23065744,-0.01963122,-0.0218547,2022-01-01 03:00:00
1641009600000,-9.76,-7.82335987,-0.02089441,-0.01674772,2022-01-01 04:00:00
1641013200000,-4.55,-5.13565955,-0.00964135,-0.01088249,2022-01-01 05:00:00
1641016800000,-2.64,0.47380921,-0.00561946,0.00100848,2022-01-01 06:00:00
1641020400000,5.28,5.16862044,0.01118769,0.01095172,2022-01-01 07:00:00
1641024000000,-4.89,-8.06008664,-0.0103767,-0.01710485,2022-01-01 08:00:00
1641027600000,-4.31,-4.40334508,-0.00914221,-0.00934022,2022-01-01 09:00:00
1641031200000,-7.29,-3.96730914,-0.0155533,-0.0084637,2022-01-01 10:00:00
1641034800000,-0.76,3.58202867,-0.00162536,0.00765993,2022-01-01 11:00:00
1641038400000,10.96,6.2921372,0.02328247,0.01336779,2022-01-01 12:00:00
1641042000000,0.66,-4.042324,0.00140356,-0.0085973,2022-01-01 13:00:00
1641045600000,0.25,-0.48814944,0.00053275,-0.00104027,2022-01-01 14:00:00
1641049200000,11.96,8.31893983,0.02532877,0.01761912,2022-01-01 15:00:00
1641052800000,34.16,30.90177402,0.07226782,0.06537932,2022-01-01 16:00:00
1641056400000,15.3,9.90517639,0.03203888,0.02074422,2022-01-01 17:00:00
1641060000000,17.87,8.83967837,0.03757316,0.01858969,2022-01-01 18:00:00
1641063600000,17.99,11.80967733,0.0380099,0.02495515,2022-01-01 19:00:00
1641067200000,22.16,12.70533191,0.04675912,0.02681447,2022-01-01 20:00:00
1641070800000,15.9,6.94380606,0.03360125,0.01467703,2022-01-01 21:00:00
1641074400000,15.06,5.5784937,0.03174487,0.01176122,2022-01-01 22:00:00
1641078000000,10.78,3.97045507,0.02258885,0.00832104,2022-01-01 23:00:00
1641081600000,12.13,4.03179399,0.02546966,0.0084671,2022-01-02 00:00:00
1641085200000,6.65,-0.13405152,0.01403606,-0.00028298,2022-01-02 01:00:00
1641088800000,9.01,0.3407248,0.01902028,0.00071941,2022-01-02 02:00:00
1641092400000,9.95,3.84923132,0.02102284,0.00813389,2022-01-02 03:00:00
1641096000000,5.29,-1.9496666,0.01127684,-0.0041568,2022-01-02 04:00:00
1641099600000,12.12,2.89065668,0.02574272,0.00614092,2022-01-02 05:00:00
1641103200000,6.21,2.1494447,0.01317839,0.00456178,2022-01-02 06:00:00
1641106800000,15.59,5.84679564,0.03304825,0.01239681,2022-01-02 07:00:00
1641110400000,8.6,-6.27552822,0.0182117,-0.01329349,2022-01-02 08:00:00
1641114000000,9.62,3.35582297,0.02034978,0.00709972,2022-01-02 09:00:00
1641117600000,11.21,5.20615753,0.02375559,0.011034,2022-01-02 10:00:00
1641121200000,10.49,3.37586134,0.02220787,0.00714795,2022-01-02 11:00:00
1641124800000,3.6,-5.1596002,0.00761213,-0.01091189,2022-01-02 12:00:00
1641128400000,7.73,2.9469731,0.01639889,0.00625252,2022-01-02 13:00:00
1641132000000,13.53,8.818745,0.02871846,0.01872033,2022-01-02 14:00:00
1641135600000,19.88,11.63186991,0.04199367,0.02457495,2022-01-02 15:00:00
1641139200000,7.25,1.69796851,0.01516981,0.00355322,2022-01-02 16:00:00
1641142800000,17.08,3.18625185,0.03603289,0.00672386,2022-01-02 17:00:00
1641146400000,10.53,1.21013933,0.02237658,0.00257209,2022-01-02 18:00:00
1641150000000,12.33,3.97058235,0.02628567,0.00846618,2022-01-02 19:00:00
1641153600000,10.69,2.38383836,0.02274123,0.00507212,2022-01-02 20:00:00
1641157200000,10.18,5.42130518,0.02165127,0.01153144,2022-01-02 21:00:00
1641160800000,18.01,12.27981262,0.03811206,0.02598921,2022-01-02 22:00:00
1641164400000,12.89,3.68243503,0.02725955,0.00778907,2022-01-02 23:00:00
1641168000000,14.92,6.48674366,0.03171089,0.01378936,2022-01-03 00:00:00
1641171600000,11.84,5.35202903,0.02512909,0.01136065,2022-01-03 01:00:00
1641175200000,8.14,1.70899274,0.01731916,0.00363665,2022-01-03 02:00:00
1641178800000,3.31,-1.40863234,0.00707367,-0.00301064,2022-01-03 03:00:00
1641182400000,5.15,1.68140698,0.01099904,0.00359131,2022-01-03 04:00:00
1641186000000,11.68,11.43236635,0.02480955,0.02428368,2022-01-03 05:00:00
1641189600000,12.75,12.62189816,0.02717174,0.02689881,2022-01-03 06:00:00
1641193200000,7.05,4.98632691,0.01498362,0.01059809,2022-01-03 07:00:00
1641196800000,3.11,-1.2693656,0.00662,-0.00270225,2022-01-03 08:00:00
1641200400000,3.84,0.56423717,0.0081729,0.00120098,2022-01-03 09:00:00
1641204000000,8.33,3.63907597,0.01767601,0.00772278,2022-01-03 10:00:00
1641207600000,7.28,4.4633779,0.01536578,0.00942134,2022-01-03 11:00:00
1641211200000,5.61,0.81363414,0.01188701,0.00172418,2022-01-03 12:00:00
1641214800000,-3.68,-7.83233721,-0.0078043,-0.01661176,2022-01-03 13:00:00
1641218400000,-3.49,-6.82043536,-0.00744541,-0.01455144,2022-01-03 14:00:00
1641222000000,-5.76,-7.97607114,-0.01233578,-0.01708259,2022-01-03 15:00:00
1641225600000,9.43,6.37611026,0.02028727,0.01371818,2022-01-03 16:00:00
1641229200000,7.71,3.20086611,0.01655318,0.00687285,2022-01-03 17:00:00
1641232800000,3.13,-1.517273,0.00673513,-0.00326519,2022-01-03 18:00:00
1641236400000,12.54,10.98786687,0.02704917,0.02370197,2022-01-03 19:00:00
1641240000000,-6.34,-10.92439326,-0.01380602,-0.02379139,2022-01-03 20:00:00
1641243600000,8.39,8.50034962,0.01824746,0.01848741,2022-01-03 21:00:00
1641247200000,7.42,3.62504823,0.01605439,0.00784403,2022-01-03 22:00:00
1641250800000,13.46,10.2194556,0.02897983,0.02200436,2022-01-03 23:00:00
1641254400000,1.4,-2.00127341,0.0030274,-0.00432792,2022-01-04 00:00:00
1641258000000,5.39,2.94908553,0.0117034,0.00640374,2022-01-04 01:00:00
1641261600000,1.33,-3.21947956,0.00288482,-0.00698387,2022-01-04 02:00:00
1641265200000,5.87,1.33215722,0.01267436,0.00287664,2022-01-04 03:00:00
1641268800000,-2.93,-5.56692801,-0.00635573,-0.01207642,2022-01-04 04:00:00
1641272400000,5.49,-1.72027384,0.01189556,-0.00372802,2022-01-04 05:00:00
1641276000000,15.14,13.33166633,0.03265216,0.02875328,2022-01-04 06:00:00
