start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1640995200000,2022-01-01 00:00:00,0.53615116,1.15587474,220635823.83819,0.46384884,190882122.42893
1640998800000,2022-01-01 01:00:00,0.50732584,1.02973907,170895360.97458,0.49267416,165959868.19076
1641002400000,2022-01-01 02:00:00,0.46988198,0.88637241,97135819.26453,0.53011802,109588045.13646
1641006000000,2022-01-01 03:00:00,0.46741326,0.87762841,89981855.19902,0.53258674,102528420.6707
1641009600000,2022-01-01 04:00:00,0.46122798,0.85607263,131000040.73402,0.53877202,153024447.44107
1641013200000,2022-01-01 05:00:00,0.54572673,1.20131817,384641911.53568,0.45427327,320183211.87409
1641016800000,2022-01-01 06:00:00,0.44919846,0.81553597,156080969.82323,0.55080154,191384532.25472
1641020400000,2022-01-01 07:00:00,0.55881159,1.26660533,162099684.65411,0.44118841,127979632.17812
1641024000000,2022-01-01 08:00:00,0.50087535,1.00350756,148229229.70554,0.49912465,147711124.19783
1641027600000,2022-01-01 09:00:00,0.48208579,0.93082172,124545667.17879,0.51791421,133801849.45309
1641031200000,2022-01-01 10:00:00,0.46408575,0.86597017,257017088.16441,0.53591425,296796700.48126
1641034800000,2022-01-01 11:00:00,0.47739758,0.91350053,128048574.56761,0.52260242,140173509.32268
1641038400000,2022-01-01 12:00:00,0.54741649,1.20953696,153325428.75064,0.45258351,126763739.8492
1641042000000,2022-01-01 13:00:00,0.44209869,0.79243172,121152245.85042,0.55790131,152886667.85348
1641045600000,2022-01-01 14:00:00,0.48664692,0.94797703,119646728.87537,0.51335308,126212687.96143
1641049200000,2022-01-01 15:00:00,0.5285407,1.12107387,274034815.33039,0.4714593,244439570.32597
1641052800000,2022-01-01 16:00:00,0.48323234,0.9351056,202232357.06494,0.51676766,216266865.33352
1641056400000,2022-01-01 17:00:00,0.52639766,1.11147605,343873688.44501,0.47360234,309384703.60874
1641060000000,2022-01-01 18:00:00,0.44713826,0.80877048,204675940.72089,0.55286174,253070487.27338
1641063600000,2022-01-01 19:00:00,0.48740883,0.95087247,132793490.51834,0.51259117,139654364.84868
1641067200000,2022-01-01 20:00:00,0.49669427,0.98686391,137852209.06807,0.50330573,139687152.19296
1641070800000,2022-01-01 21:00:00,0.56085865,1.27717114,136809138.89432,0.43914135,107118877.7958
1641074400000,2022-01-01 22:00:00,0.49372504,0.97521127,107675451.54506,0.50627496,110412435.53952
1641078000000,2022-01-01 23:00:00,0.53903206,1.16934825,198396462.25591,0.46096794,169664136.99278
1641081600000,2022-01-02 00:00:00,0.48073196,0.92578769,187439605.23082,0.51926804,202465000.67583
1641085200000,2022-01-02 01:00:00,0.48947188,0.95875597,99322681.68497,0.51052812,103595372.0043
1641088800000,2022-01-02 02:00:00,0.51308914,1.05376403,100995651.05214,0.48691086,95842758.45141
1641092400000,2022-01-02 03:00:00,0.46891683,0.88294425,88330620.39283,0.53108317,100040993.97139
1641096000000,2022-01-02 04:00:00,0.41473126,0.7086168,249534410.68539,0.58526874,352142949.74636
1641099600000,2022-01-02 05:00:00,0.57332128,1.34368382,201181714.44146,0.42667872,149723999.17543
1641103200000,2022-01-02 06:00:00,0.52910986,1.12363758,147415138.14302,0.47089014,131194559.72169
1641106800000,2022-01-02 07:00:00,0.54696483,1.20733415,121650872.96293,0.45303517,100759903.72956
1641110400000,2022-01-02 08:00:00,0.47924326,0.92028239,126954266.79365,0.52075674,137951424.52397
1641114000000,2022-01-02 09:00:00,0.5422108,1.18441151,202822888.39817,0.4577892,171243597.20804
1641117600000,2022-01-02 10:00:00,0.4541846,0.83212126,82690007.19257,0.5458154,99372544.50913
1641121200000,2022-01-02 11:00:00,0.53508057,1.15091031,116197973.72554,0.46491943,100961797.20984
1641124800000,2022-01-02 12:00:00,0.50538231,1.02176353,200590535.00928,0.49461769,196317962.7648
1641128400000,2022-01-02 13:00:00,0.49857892,0.99433178,126696763.6096,0.50142108,127419003.15398
1641132000000,2022-01-02 14:00:00,0.49419426,0.97704361,108224270.38505,0.50580574,110767082.29535
1641135600000,2022-01-02 15:00:00,0.51124185,1.04600167,176942348.1505,0.48875815,169160673.92741
