start_time,close,datetime,exchange_whale_ratio,coinbase_premium_index,taker_buy_sell_ratio,netflow
1640995200000,46659.43669667,2022-01-01 00:00:00,0.91450976,0.00154321,1.15587474,161.14430846000002
1640998800000,46786.78573004,2022-01-01 01:00:00,0.73623862,0.0057933,1.02973907,-64.69219713000001
1641002400000,46809.02160631,2022-01-01 02:00:00,0.96353901,-0.00687861,0.88637241,25.060914810000014
1641006000000,46812.82029658,2022-01-01 03:00:00,0.762856,-0.01963122,0.87762841,115.59933421000001
1641009600000,46704.76064732,2022-01-01 04:00:00,0.49804018,-0.02089441,0.85607263,-104.769742
1641013200000,47194.68571576,2022-01-01 05:00:00,0.88714305,-0.00964135,1.20131817,32.072609719999974
1641016800000,46979.71517179,2022-01-01 06:00:00,0.71107822,-0.00561946,0.81553597,-63.19422841999999
1641020400000,47199.39491924,2022-01-01 07:00:00,0.79413001,0.01118769,1.26660533,134.90726681
1641024000000,47123.09135989,2022-01-01 08:00:00,0.60691475,-0.0103767,1.00350756,13.78051889999999
1641027600000,47138.76151283,2022-01-01 09:00:00,0.72986022,-0.00914221,0.93082172,59.113162
1641031200000,46868.61865725,2022-01-01 10:00:00,0.78620506,-0.0155533,0.86597017,-441.41980119000004
1641034800000,46756.62865525,2022-01-01 11:00:00,0.55838289,-0.00162536,0.91350053,-0.01106988000000797
1641038400000,47081.55165428,2022-01-01 12:00:00,0.62720831,0.02328247,1.20953696,20.85975028
1641042000000,47027.45458532,2022-01-01 13:00:00,0.5681874,0.00140356,0.79243172,42.03575526
1641045600000,46924.88217148,2022-01-01 14:00:00,0.57568338,0.00053275,0.94797703,-288.24324778000005
1641049200000,47226.0435544,2022-01-01 15:00:00,0.81463204,0.02532877,1.12107387,7.257023050000015
1641052800000,47280.50435697,2022-01-01 16:00:00,0.45778126,0.07226782,0.9351056,-81.74469336000001
1641056400000,47762.57823178,2022-01-01 17:00:00,0.77672257,0.03203888,1.11147605,1.4283012200000371
1641060000000,47576.03072641,2022-01-01 18:00:00,0.93012026,0.03757316,0.80877048,236.90370401999996
1641063600000,47339.40986874,2022-01-01 19:00:00,0.5123707,0.0380099,0.95087247,-152.63620038
1641067200000,47420.53327812,2022-01-01 20:00:00,0.39195776,0.04675912,0.98686391,-854.2225102
1641070800000,47330.96555093,2022-01-01 21:00:00,0.91081603,0.03360125,1.27717114,218.88006563000002
1641074400000,47453.74056009,2022-01-01 22:00:00,0.94237611,0.03174487,0.97521127,117.96267704000002
1641078000000,47733.38548613,2022-01-01 23:00:00,0.63403817,0.02258885,1.16934825,-145.68125816
1641081600000,47637.51979485,2022-01-02 00:00:00,0.6018885,0.02546966,0.92578769,-103.20433523
1641085200000,47383.59697807,2022-01-02 01:00:00,0.73742256,0.01403606,0.95875597,-56.819692910000015
1641088800000,47380.34888164,2022-01-02 02:00:00,0.81849967,0.01902028,1.05376403,40.07136144
1641092400000,47338.08624503,2022-01-02 03:00:00,0.71435249,0.02102284,0.88294425,-88.32544783
1641096000000,46915.26719479,2022-01-02 04:00:00,0.68595556,0.01127684,0.7086168,-46.453732720000005
1641099600000,47092.54503872,2022-01-02 05:00:00,0.9553085,0.02574272,1.34368382,161.00876757
1641103200000,47128.32540095,2022-01-02 06:00:00,0.6635377,0.01317839,1.12363758,-70.86786804
1641106800000,47185.03902917,2022-01-02 07:00:00,0.62878725,0.03304825,1.20733415,26.053741970000004
1641110400000,47235.78175696,2022-01-02 08:00:00,0.71024309,0.0182117,0.92028239,127.30670409000001
1641114000000,47280.3416587,2022-01-02 09:00:00,0.44401695,0.02034978,1.18441151,-40.331016420000005
1641117600000,47193.50118242,2022-01-02 10:00:00,0.67493267,0.02375559,0.83212126,60.20516807
1641121200000,47241.79671132,2022-01-02 11:00:00,0.56865946,0.02220787,1.15091031,-2.994732769999999
1641124800000,47300.4591068,2022-01-02 12:00:00,0.8741606,0.00761213,1.02176353,222.25108626999997
1641128400000,47141.6540485,2022-01-02 13:00:00,0.53375467,0.01639889,0.99433178,38.47996925999999
1641132000000,47118.33083143,2022-01-02 14:00:00,0.4918626,0.02871846,0.97704361,6.3411540799999955
1641135600000,47351.78665264,2022-01-02 15:00:00,0.85982694,0.04199367,1.04600167,126.99112947999998
1641139200000,47800.27984822,2022-01-02 16:00:00,0.89807278,0.01516981,1.16289679,-27.192976439999995
1641142800000,47416.21192457,2022-01-02 17:00:00,0.88961806,0.03603289,0.80558629,378.34946048
1641146400000,47067.45633372,2022-01-02 18:00:00,0.72843415,0.02237658,1.0373657,113.47548525000002
1641150000000,46922.33923973,2022-01-02 19:00:00,0.90775501,0.02628567,1.06423996,6.239711610000029
1641153600000,47017.38316605,2022-01-02 20:00:00,0.38696568,0.02274123,1.05056085,-166.90134885
1641157200000,47025.53127763,2022-01-02 21:00:00,0.50995868,0.02165127,0.96132917,-21.92941565
1641160800000,47265.64574555,2022-01-02 22:00:00,0.37892225,0.03811206,1.08095178,-139.00190618000002
1641164400000,47299.99964571,2022-01-02 23:00:00,0.4429295,0.02725955,0.90063024,-101.47161478000001
1641168000000,47061.03862152,2022-01-03 00:00:00,0.84262703,0.03171089,0.80268625,6.633940940000002
1641171600000,47124.5085025,2022-01-03 01:00:00,0.52993219,0.02512909,1.19490804,-191.73392235
1641175200000,47006.33154676,2022-01-03 02:00:00,0.67615216,0.01731916,0.90113068,16.782664289999992
1641178800000,46799.24698134,2022-01-03 03:00:00,0.6572701,0.00707367,0.8190186,-161.11384512
1641182400000,46829.02072462,2022-01-03 04:00:00,0.53950355,0.01099904,1.06599808,-72.46584938999999
1641186000000,47083.50126077,2022-01-03 05:00:00,0.72721791,0.02480955,1.10544565,-8.21804236
1641189600000,46929.72397683,2022-01-03 06:00:00,0.51163017,0.02717174,0.84224053,-17.58741273000001
1641193200000,47055.12031731,2022-01-03 07:00:00,0.61120431,0.01498362,0.9421107,6.758696180000001
1641196800000,46983.1771322,2022-01-03 08:00:00,0.76050983,0.00662,0.87632233,38.156942930000014
1641200400000,46990.82145976,2022-01-03 09:00:00,0.59664047,0.0081729,0.99424549,-64.03075475000003
1641204000000,47132.55145044,2022-01-03 10:00:00,0.48256155,0.01767601,1.030624,-26.043834719999992
1641207600000,47381.27467182,2022-01-03 11:00:00,0.59355171,0.01536578,1.20558807,28.897421010000002
1641211200000,47199.67938737,2022-01-03 12:00:00,0.75448976,0.01188701,0.79548872,208.30681885999996
1641214800000,47158.8312616,2022-01-03 13:00:00,0.49382864,-0.0078043,1.11434096,-384.45953062
1641218400000,46874.35640748,2022-01-03 14:00:00,0.79339437,-0.00744541,0.8818774,137.22287734999998
1641222000000,46690.3801055,2022-01-03 15:00:00,0.64934928,-0.01233578,0.9219391,57.83740147999998
1641225600000,46484.60776573,2022-01-03 16:00:00,0.7147129,0.02028727,0.94100121,-104.63648447999998
1641229200000,46585.87391342,2022-01-03 17:00:00,0.61197479,0.01655318,1.06488197,-64.74394315999999
1641232800000,46474.91118088,2022-01-03 18:00:00,0.51822741,0.00673513,0.8489668,-105.10439501000002
1641236400000,46369.40423895,2022-01-03 19:00:00,0.87592197,0.02704917,0.9531369,266.19877887999996
1641240000000,45920.36882963,2022-01-03 20:00:00,0.51807674,-0.01380602,0.81516783,-336.38475875
1641243600000,45982.99277568,2022-01-03 21:00:00,0.53699761,0.01824746,0.96295499,-27.91557254
1641247200000,46224.49007172,2022-01-03 22:00:00,0.39646881,0.01605439,1.03667416,-174.28770265000003
1641250800000,46452.01632792,2022-01-03 23:00:00,0.41229883,0.02897983,1.18013346,-69.36477216000002
1641254400000,46246.30339544,2022-01-04 00:00:00,0.52827831,0.0030274,0.95427797,37.47292587999999
1641258000000,46062.36953635,2022-01-04 01:00:00,0.47681694,0.0117034,0.90180593,-130.25318041999998
1641261600000,46108.99929153,2022-01-04 02:00:00,0.9754222,0.00288482,0.98169659,1675.15976466
1641265200000,46324.31034985,2022-01-04 03:00:00,0.81606652,0.01267436,0.96501815,28.658095919999994
1641268800000,46102.02730608,2022-01-04 04:00:00,0.87324267,-0.00635573,0.93449272,1126.09953062
1641272400000,46158.23370517,2022-01-04 05:00:00,0.75059613,0.01189556,0.93963927,-24.41816326999998
1641276000000,46373.56003798,2022-01-04 06:00:00,0.88001457,0.03265216,1.09901723,141.85832533999996
1641279600000,46552.3382727,2022-01-04 07:00:00,0.81483037,0.01772288,0.90105474,-42810.094254489995
1641283200000,46494.00859617,2022-01-04 08:00:00,0.70680869,0.03557775,0.9042836,-35.166529249999996
1641286800000,46358.51015265,2022-01-04 09:00:00,0.85234188,-0.00045301,0.76279717,378.61407737
1641290400000,46632.34121898,2022-01-04 10:00:00,0.42830717,0.02043952,1.20491387,-276.74914750999994
1641294000000,46734.25110782,2022-01-04 11:00:00,0.708726,0.00338085,0.88377699,-117.10269830000004
1641297600000,46638.63734702,2022-01-04 12:00:00,0.95555906,-0.01528681,0.91682123,840.6123030300001
1641301200000,46969.24647708,2022-01-04 13:00:00,0.58804,0.03416021,1.10071296,-1323.04959658
1641304800000,47338.60810085,2022-01-04 14:00:00,0.84119773,0.01033098,1.02456694,-1047.91546835
1641308400000,46910.58553521,2022-01-04 15:00:00,0.45043706,-0.05402197,0.84188935,82.86868989999999
1641312000000,46765.76706718,2022-01-04 16:00:00,0.54804368,-0.01667833,1.19131618,55.19519402
1641315600000,46549.54205215,2022-01-04 17:00:00,0.79745223,-0.03211255,0.84732189,135.53321712
1641319200000,45739.29732316,2022-01-04 18:00:00,0.53397205,-0.03036066,0.85723295,-0.10673479000001862
1641322800000,46042.10431448,2022-01-04 19:00:00,0.79445074,-0.02699102,1.10850291,25.285226609999995
1641326400000,46262.03026405,2022-01-04 20:00:00,0.79920458,-0.01895605,1.03900922,-115.14397413
1641330000000,46218.73298065,2022-01-04 21:00:00,0.98253627,-0.0130674,1.03338244,1311.99281909
1641333600000,46149.78881705,2022-01-04 22:00:00,0.66161894,-0.0155113,0.93129415,109.17231577000001
1641337200000,45823.67625179,2022-01-04 23:00:00,0.67127694,-0.03796473,0.90139414,155.89594952000002
1641340800000,46268.40562381,2022-01-05 00:00:00,0.74505867,-0.00211793,1.04087641,146.91704068
1641344400000,46107.44360876,2022-01-05 01:00:00,0.75446731,-0.02264077,0.8596816,101.29937271
1641348000000,46299.58782296,2022-01-05 02:00:00,0.91261275,0.00576712,1.23328732,48.65429426000001
1641351600000,46422.00180576,2022-01-05 03:00:00,0.86604018,0.01036134,1.09288247,525.70721284
1641355200000,46412.87089347,2022-01-05 04:00:00,0.73986557,-0.00532162,1.10784039,-472.71967759999995
1641358800000,46303.90810557,2022-01-05 05:00:00,0.52601007,0.00261323,0.75205814,-9.482513100000006
1641362400000,46452.90400462,2022-01-05 06:00:00,0.58890578,0.00781485,1.19422558,-15.844439669999986
1641366000000,46407.77718748,2022-01-05 07:00:00,0.65485612,-0.00073264,0.7878097,-51.56815293
1641369600000,46640.96068933,2022-01-05 08:00:00,0.65078017,0.00853307,1.12163365,-2.2690544799999657
1641373200000,46861.63303266,2022-01-05 09:00:00,0.70941438,-0.00529248,1.04632615,4.472986300000002
1641376800000,46819.52908729,2022-01-05 10:00:00,0.56470458,0.00499802,1.00503352,-386.95493473
1641380400000,46271.40996362,2022-01-05 11:00:00,0.51763014,0.008407,0.85306823,-121.71305223999997
1641384000000,46230.87104193,2022-01-05 12:00:00,0.66908419,0.00015142,0.95804647,182.44250079000003
1641387600000,46431.40440339,2022-01-05 13:00:00,0.40698695,-0.00846253,1.03211833,-13.184198949999995
1641391200000,46706.27151795,2022-01-05 14:00:00,0.8344033,0.02098972,1.02618748,15.670670410000014
1641394800000,46622.57427126,2022-01-05 15:00:00,0.63425338,0.01537883,0.95669144,-35.88518796999995
1641398400000,46302.18624115,2022-01-05 16:00:00,0.75704848,-0.00805587,0.89392158,-462.82602692
1641402000000,46008.4870736,2022-01-05 17:00:00,0.62936907,-0.00699837,0.85556302,110.4957905
1641405600000,45913.68230122,2022-01-05 18:00:00,0.66728266,-0.00529182,0.99685739,28.425396860000035
1641409200000,44668.06520668,2022-01-05 19:00:00,0.86377232,-0.2025246,0.75716534,379.46747833999996
1641412800000,43957.31727412,2022-01-05 20:00:00,0.53431404,-0.10223574,0.89113412,-74.72173194999982
1641416400000,43597.41829521,2022-01-05 21:00:00,0.64242971,-0.04022348,0.97806716,283.92320342000005
1641420000000,43431.07988732,2022-01-05 22:00:00,0.40788165,-0.00923175,0.83976457,239.05198276
1641423600000,43449.28599509,2022-01-05 23:00:00,0.81350965,-0.03472867,1.01580062,-56.51449133
1641427200000,43677.49732163,2022-01-06 00:00:00,0.89413767,0.01671209,0.92696643,87.37817609
1641430800000,43548.04489182,2022-01-06 01:00:00,0.67407527,0.01320543,0.98069016,53.875182429999995
1641434400000,43256.20439155,2022-01-06 02:00:00,0.79147887,-0.0120667,0.94045378,624.7438341300001
1641438000000,42830.01910971,2022-01-06 03:00:00,0.94106987,-0.02287849,0.87675136,1777.9033564400002
1641441600000,43024.07692769,2022-01-06 04:00:00,0.45233734,-0.01161987,1.08525609,312.38557334000006
